,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,3.79122543334961,3.8107223510742174,"(10955.06, 159.02)","(11030.47, 160.26)",0,0
1,0.0001,3.8107223510742174,3.830619812011719,"(11030.47, 160.26)","(11105.92, 161.56)",0,0
2,0.001,3.830619812011719,3.850250244140625,"(11105.92, 161.56)","(11181.5, 162.83)",0,0
3,0.01,3.850250244140625,3.870258331298828,"(11181.5, 162.83)","(11256.59, 164.04)",0,0
4,0.1,3.870258331298828,3.8901290893554688,"(11256.59, 164.04)","(11332.01, 165.23)",0,0
5,1.0,3.8901290893554688,3.909893035888672,"(11332.01, 165.23)","(11408.2, 166.42)",0,0
6,10.0,3.909893035888672,3.9284400939941406,"(11408.21, 166.42)","(11486.17, 167.76)",0,0
7,100.0,3.9284400939941406,3.944774627685547,"(11486.17, 167.77)","(11562.89, 169.04)",0,0
8,1000.0,3.944774627685547,3.961246490478516,"(11562.89, 169.04)","(11639.34, 170.26)",0,0
0,10000,3.9612464904785156,3.9834442138671875,"(11639.34, 170.26)","(11715.1, 171.52)",0,0
